City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,polysayevo,54.6012,86.2459,20.73,59,100,1.77,RU,1690421932
256,kamina,-8.7386,24.9906,15.34,43,48,1.68,CD,1690421932
257,atafu village,-8.5421,-172.5159,28.52,75,100,8.04,TK,1690421583
258,castillos,-34.1667,-53.8333,9.56,80,0,6.08,UY,1690421675
259,kortessem,50.8579,5.3864,17.26,83,100,4.4,BE,1690421934
260,uturoa,-16.7333,-151.4333,25.76,83,47,3.73,PF,1690421579
261,trondheim,63.4305,10.3951,16.07,93,47,0.41,NO,1690421934
262,horta,38.5333,-28.6333,22.79,96,53,1.34,PT,1690421636
263,klyuchi,52.2667,79.1667,22.57,41,100,3.13,RU,1690421564
264,cradock,-32.1642,25.6192,10.95,76,25,2.41,ZA,1690421934
265,eyl,7.9803,49.8164,24.8,66,58,10.67,SO,1690421935
266,arteche,12.2645,125.4048,30.92,62,96,3.4,PH,1690421935
267,cadale,2.7603,46.3222,24.58,84,100,7.31,SO,1690421591
268,peterhead,57.5058,-1.7981,13.22,84,24,6.23,GB,1690421935
269,kasongo-lunda,-6.4667,16.8167,20.5,67,1,0.92,CD,1690421935
270,krasnyye baki,57.131,45.1599,18.74,97,17,4.02,RU,1690421935
271,phan rang-thap cham,11.5667,108.9833,30.44,65,100,3.65,VN,1690421936
272,plastun,44.7561,136.2939,30.54,47,6,1.24,RU,1690421936
273,tsiombe,-25.3,45.4833,18.03,57,0,5.81,MG,1690421596
274,tura,25.5198,90.2201,24.27,97,100,2.31,IN,1690421607
275,tougue,11.4667,-11.6,20.29,93,100,0.23,GN,1690421936
276,chiang klang,19.2938,100.8617,27.29,89,59,0.87,TH,1690421936
277,merritt,50.1123,-120.7942,25.18,28,72,0.89,CA,1690421937
278,chibougamau,49.9168,-74.3659,20.79,56,100,2.51,CA,1690421547
279,acajutla,13.5928,-89.8275,28.0,74,11,0.56,SV,1690421601
280,floro,61.5996,5.0328,15.04,88,100,3.6,NO,1690421672
281,karasu,41.071,30.7854,26.79,47,3,4.89,TR,1690421937
282,tapejara,-28.0681,-52.0139,15.21,94,100,3.74,BR,1690421937
283,iskateley,67.6803,53.1512,17.41,71,99,1.68,RU,1690421592
284,tadine,-21.55,167.8833,20.76,59,77,7.86,NC,1690421938
285,lompoc,34.6391,-120.4579,19.96,85,100,5.36,US,1690421439
286,dzuunmod,48.2199,97.3744,18.34,36,23,0.49,MN,1690421938
287,hasaki,35.7333,140.8333,36.27,73,13,4.79,JP,1690421596
288,quellon,-43.1167,-73.6167,7.14,100,100,0.0,CL,1690421623
289,new norfolk,-42.7826,147.0587,12.73,58,100,1.79,AU,1690421578
290,weno,7.4515,151.8468,28.41,74,22,3.17,FM,1690421619
291,paredon,16.0333,-93.8667,29.56,67,27,5.0,MX,1690421939
292,carlsbad,33.1581,-117.3506,35.24,66,0,3.6,US,1690421721
293,oroville,39.5138,-121.5564,37.0,23,0,6.17,US,1690421939
294,gifhorn,52.4833,10.55,14.12,89,22,1.54,DE,1690421817
295,kawm umbu,24.4767,32.9463,33.02,15,100,2.74,EG,1690421939
296,chegdomyn,51.1167,133.0167,25.4,58,43,1.4,RU,1690421939
297,malango,-2.9627,119.9001,25.41,63,28,1.25,ID,1690421601
298,cidreira,-30.1811,-50.2056,15.52,82,74,7.14,BR,1690421609
299,badger,64.8,-147.5333,29.73,52,75,2.06,US,1690421568
300,pedemonte,45.9084,11.3086,14.44,88,9,1.83,IT,1690421940
301,touros,-5.1989,-35.4608,23.88,89,34,5.09,BR,1690421590
302,pangody,65.85,74.4859,21.77,61,89,3.46,RU,1690421617
303,porto murtinho,-21.6989,-57.8825,21.05,69,100,3.5,BR,1690421940
304,greenwood,34.1668,-82.1165,28.12,67,0,1.54,US,1690421701
305,gadzhiyevo,69.2551,33.3362,10.2,95,100,0.84,RU,1690421606
306,kapa'a,22.0752,-159.319,29.18,77,40,6.69,US,1690421676
307,altamont,42.2068,-121.7372,28.91,37,0,8.23,US,1690421941
308,igoumenitsa,39.5039,20.2656,25.81,72,0,2.07,GR,1690421941
309,santa marta,11.2408,-74.199,29.03,79,75,7.2,CO,1690421788
310,yelizovo,53.1873,158.3805,22.08,73,20,6.0,RU,1690421592
311,edgewater,28.9889,-80.9023,28.38,89,96,2.46,US,1690421941
312,porto novo,6.4965,2.6036,25.9,94,98,2.38,BJ,1690421941
313,aksu,41.1231,80.2644,30.1,28,99,1.47,CN,1690421941
314,safaga,26.7292,33.9365,31.15,52,100,5.19,EG,1690421942
315,buala,-8.145,159.5921,27.15,84,100,4.12,SB,1690421623
316,jalai nur,49.45,117.7,23.12,54,96,2.41,CN,1690421942
317,amga,60.8953,131.9608,22.62,49,100,2.08,RU,1690421943
318,t'aebaek,37.1759,128.9889,29.3,50,37,2.06,KR,1690421943
319,sur,22.5667,59.5289,27.84,75,80,5.11,OM,1690421675
320,hadibu,12.65,54.0333,24.99,79,55,11.25,YE,1690421600
321,dunedin,-45.8742,170.5036,7.67,61,99,8.49,NZ,1690421398
322,wotho,10.1657,166.0102,28.42,78,37,6.9,MH,1690421944
323,lichinga,-13.3128,35.2406,9.98,88,21,2.53,MZ,1690421944
324,rio grande,-32.035,-52.0986,12.19,87,2,6.9,BR,1690421663
325,beloyarskiy,63.7119,66.6722,14.43,98,100,2.55,RU,1690421737
326,labuan,5.2767,115.2417,29.2,79,20,2.24,MY,1690421944
327,kalabo,-14.97,22.6814,12.14,53,0,2.69,ZM,1690421944
328,longido,-2.7333,36.6833,14.24,86,9,4.19,TZ,1690421944
329,afif,23.9065,42.9172,27.64,19,31,4.49,SA,1690421945
330,sungailiat,-1.85,106.1333,28.93,72,59,7.04,ID,1690421945
331,ceylanpinar,36.8472,40.05,30.59,16,0,1.64,TR,1690421945
332,adam,22.3756,57.5233,27.06,68,79,3.03,OM,1690421945
333,nha trang,12.25,109.1833,32.0,62,70,1.8,VN,1690421945
334,itoman,26.1247,127.6694,30.01,82,100,5.14,JP,1690421678
335,kilindoni,-7.9139,39.6668,25.3,75,91,7.73,TZ,1690421946
336,oriximina,-1.7656,-55.8661,26.98,60,24,1.38,BR,1690421946
337,kandri,21.4167,79.2667,25.76,78,98,0.95,IN,1690421946
338,yasuj,30.6682,51.588,19.75,32,0,0.0,IR,1690421946
339,ca mau,9.1769,105.15,28.03,77,96,5.06,VN,1690421946
340,vila do maio,15.1333,-23.2167,27.44,83,100,5.26,CV,1690421653
341,neiva,2.9273,-75.2819,29.94,48,20,0.0,CO,1690421947
342,humaita,-7.5061,-63.0208,24.52,54,6,0.93,BR,1690421608
343,golpazari,40.2847,30.3172,25.18,28,15,1.77,TR,1690421947
344,aibak,36.2647,68.0155,29.65,14,0,3.38,AF,1690421947
345,el granada,37.5027,-122.4694,28.37,80,100,9.26,US,1690421378
346,piti village,13.4626,144.6933,26.84,90,0,5.14,GU,1690421676
347,afaahiti,-17.75,-149.2833,23.93,83,69,2.64,PF,1690421595
348,esil,51.9556,66.4042,19.19,78,44,1.86,KZ,1690421947
349,qala i naw,34.9874,63.1289,25.79,46,0,3.7,AF,1690421948
350,gillette,44.2911,-105.5022,29.51,29,20,8.23,US,1690421948
351,cold springs,39.6802,-119.9766,30.62,16,0,8.23,US,1690421948
352,noosa heads,-26.3833,153.15,20.62,59,97,5.7,AU,1690421948
353,kattivakkam,13.2167,80.3167,28.05,77,100,8.14,IN,1690421687
354,salinopolis,-0.6136,-47.3561,26.39,82,67,4.77,BR,1690421673
355,howard springs,-12.497,131.047,23.95,25,100,2.34,AU,1690421727
356,mersa matruh,31.3525,27.2453,25.11,88,0,3.09,EG,1690421949
357,es castell,39.8795,4.2854,22.38,83,0,1.54,ES,1690421949
358,bubaque,11.2833,-15.8333,27.56,81,100,5.28,GW,1690421638
359,manaure,11.7751,-72.4445,27.42,81,100,4.46,CO,1690421950
360,bel ombre,-4.6167,55.4167,24.91,88,40,4.12,SC,1690421650
361,nizhnyaya tavda,57.6731,66.1725,17.31,80,0,2.61,RU,1690421950
362,westport,41.1415,-73.3579,26.12,79,11,3.13,US,1690421389
